class_id,class_name,n_subjects,mu_lo,mu_hi,sigma_lo,sigma_hi,mean_of_means,mean_of_stds
0,Background,57,0.0,13.81,1.37,19.6,4.63,6.2
1,White Matter,57,109.84,223.42,13.84,36.84,144.22,20.22
2,Cortex,57,116.44,209.95,19.78,47.53,160.18,30.03
3,Deep GM / PV,57,97.5,225.03,13.94,39.36,159.8,25.57
4,CSF,57,39.66,172.89,29.73,67.62,69.19,48.46
5,Optic chiasm,56,86.69,223.39,12.96,53.23,153.76,31.36
6,Air Internal,57,16.81,101.83,21.09,84.7,36.02,40.51
7,Artery,57,20.27,138.59,15.07,79.41,50.1,47.0
8,Eye balls,57,15.14,160.24,11.79,58.54,41.92,26.59
9,Other tissues,57,50.31,143.43,41.79,82.53,86.42,67.31
10,Rectus muscles,57,87.97,177.37,26.2,67.31,127.29,45.31
11,Mucosa,57,66.42,199.57,26.21,74.48,119.62,50.52
12,Skin,57,62.25,152.26,36.28,79.03,102.29,60.01
13,Spinal cord,55,16.81,211.53,7.23,60.49,59.48,37.37
14,Vein,57,20.08,146.72,25.18,58.34,50.79,42.14
15,Bone cortical,57,25.22,133.92,30.2,67.11,55.06,46.23
16,Bone cancellous,57,61.11,203.46,34.42,77.68,120.53,57.11
17,Optic nerve,57,71.88,165.96,20.83,62.5,104.09,41.58
