class_id,class_name,n_subjects,mu_lo,mu_hi,sigma_lo,sigma_hi,mean_of_means,mean_of_stds
0,Background,85,0.0,6.86,1.01,19.15,1.36,3.29
1,White Matter,85,96.74,167.86,13.87,25.57,135.74,18.51
2,Cortex,85,120.88,208.33,22.94,47.17,168.21,31.66
3,Deep GM / PV,85,115.86,202.55,21.81,40.71,166.6,30.3
4,CSF,85,46.46,95.13,41.37,71.33,65.94,55.71
5,Optic chiasm,85,104.92,218.29,26.08,63.95,172.07,37.91
6,Air Internal,85,10.97,57.04,25.75,72.54,27.75,43.26
7,Artery,85,17.96,87.01,31.81,80.89,42.62,55.37
8,Eye balls,85,15.72,112.1,15.96,76.41,42.44,29.56
9,Other tissues,85,47.48,116.48,60.52,83.38,74.36,72.45
10,Rectus muscles,85,72.17,156.55,29.58,62.75,122.07,43.77
11,Mucosa,85,46.99,174.13,43.46,84.7,120.35,65.5
12,Skin,85,69.07,139.37,47.4,80.68,101.54,63.79
13,Spinal cord,85,9.93,82.69,8.3,62.54,33.4,34.13
14,Vein,85,24.29,80.11,32.18,64.68,43.09,46.47
15,Bone cortical,85,20.24,65.02,29.44,63.19,38.19,42.44
16,Bone cancellous,85,48.31,162.52,39.09,84.92,98.23,61.22
17,Optic nerve,85,65.07,150.17,23.74,70.06,103.33,43.91
18,WM - GM Separator,85,114.66,206.06,16.12,28.84,162.94,21.7
