subject,class_id,class_name,n_voxels,mean,std,p5,p25,p50,p75,p95,mu_lo,mu_hi,sigma_lo,sigma_hi
sub-00001,0,Background,6559243,1.2836,2.6352,0.0,0.0,0.0,1.1671,5.821,0.0,3.28,2.14,3.14
sub-00001,1,White Matter,522554,131.8319,19.4197,102.4654,117.6014,130.4105,143.2196,166.5035,128.63,135.03,18.45,20.39
sub-00001,2,Cortex,697083,161.2176,27.311,117.6014,144.3867,161.8496,179.3126,203.7637,156.91,165.53,25.95,28.68
sub-00001,3,Deep GM / PV,81265,162.9414,30.5,117.6014,140.8926,160.6826,180.4797,220.0668,157.82,168.06,28.98,32.03
sub-00001,4,CSF,443676,60.2492,49.0362,2.3269,22.1241,47.7423,89.6563,157.1885,52.51,67.99,46.58,51.49
sub-00001,5,Optic chiasm,151,172.4438,44.4035,101.8818,142.636,173.4916,202.6038,253.8365,164.85,180.04,42.18,46.62
sub-00001,6,Air Internal,61397,27.9569,40.4774,0.0,4.6539,11.642,29.1122,129.2434,21.49,34.42,38.45,42.5
sub-00001,7,Artery,7615,37.8888,46.5852,0.0,5.821,15.136,58.2172,144.3867,30.67,45.11,44.26,48.91
sub-00001,8,Eye balls,12155,40.008,22.0707,4.6539,24.4511,38.4272,54.7231,80.3413,36.22,43.79,20.97,23.17
sub-00001,9,Other tissues,1329227,76.0233,74.2004,3.494,11.642,53.5633,119.9284,231.7088,64.61,87.43,70.49,77.91
sub-00001,10,Rectus muscles,3013,108.5759,34.4607,50.0692,87.3294,108.2864,131.5776,166.9703,102.73,114.42,32.74,36.18
sub-00001,11,Mucosa,10782,132.8388,57.4151,30.2721,90.8234,137.3986,178.1528,218.907,123.41,142.27,54.54,60.29
sub-00001,12,Skin,320959,106.5851,59.3627,12.8091,69.8664,101.2983,132.7374,231.7088,95.64,117.53,56.39,62.33
sub-00001,13,Spinal cord,4912,31.1391,35.0315,3.494,9.315,15.136,27.9451,110.6133,25.78,36.5,33.28,36.78
sub-00001,14,Vein,19638,38.129,41.9983,0.0,5.821,20.957,57.0573,131.5776,31.55,44.71,39.9,44.1
sub-00001,15,Bone cortical,331547,38.9334,39.7894,0.0,9.315,25.6182,55.8902,123.4224,32.76,45.1,37.8,41.78
sub-00001,16,Bone cancellous,79890,86.822,58.4125,5.821,24.4511,95.4773,132.7374,178.1528,78.21,95.44,55.49,61.33
sub-00001,17,Optic nerve,653,89.6183,36.0138,19.3303,68.6993,93.1504,114.1074,144.3867,83.37,95.87,34.21,37.81
sub-00003,0,Background,6580020,1.6528,5.8546,0.0,0.0,0.0,1.206,6.0465,0.0,3.65,5.35,6.35
