subject,class_id,class_name,n_voxels,mean,std,p5,p25,p50,p75,p95,mu_lo,mu_hi,sigma_lo,sigma_hi
sub-00002,0,Background,6814563,1.686,5.2783,0.0,0.0,0.0,1.3417,6.7084,0.0,3.69,4.78,5.78
sub-00002,1,White Matter,445036,129.7303,17.7802,104.6878,116.7629,127.5037,139.5788,163.7364,126.78,132.68,16.89,18.67
sub-00002,2,Cortex,425615,156.996,31.7031,96.6303,140.9205,159.7113,178.5022,202.6598,151.69,162.3,30.12,33.29
sub-00002,3,Deep GM / PV,67955,160.405,28.6364,114.0795,140.9205,158.3696,178.5022,212.0516,155.51,165.3,27.2,30.07
sub-00002,4,CSF,362030,65.8451,51.4145,1.3417,24.1576,53.6819,99.3137,165.078,57.66,74.03,48.84,53.99
sub-00002,5,Optic chiasm,145,160.6265,38.339,106.0294,134.2121,151.6612,182.5273,242.6565,153.8,167.46,36.42,40.26
sub-00002,6,Air Internal,53889,38.5963,56.9856,0.0,5.3667,12.0825,42.9484,175.8188,29.81,47.39,54.14,59.83
sub-00002,7,Artery,5528,59.2741,75.1749,1.3417,5.3667,16.1075,99.3137,224.134,48.13,70.41,71.42,78.93
sub-00002,8,Eye balls,7269,58.62,35.1104,9.3918,33.5494,52.3402,76.4978,130.187,52.58,64.66,33.35,36.87
sub-00002,9,Other tissues,1338009,94.5956,75.4356,4.025,24.1576,77.8395,155.6863,236.2091,82.99,106.2,71.66,79.21
sub-00002,10,Rectus muscles,3019,128.2744,40.4604,67.106,101.9971,123.4713,150.3196,201.3181,121.56,134.98,38.44,42.48
sub-00002,11,Mucosa,8632,130.8863,63.7134,22.8159,81.8719,132.8704,185.2106,224.134,120.82,140.95,60.53,66.9
sub-00002,12,Skin,297992,126.1323,65.8526,18.7909,83.2135,114.0795,173.1355,253.6583,114.39,137.88,62.56,69.15
sub-00002,13,Spinal cord,5336,60.2951,46.2097,4.025,10.7334,68.4477,101.9971,127.5037,54.12,66.47,43.9,48.52
sub-00002,14,Vein,18875,37.9179,42.4817,0.0,6.7084,20.1325,55.0236,132.8704,31.27,44.56,40.36,44.61
sub-00002,15,Bone cortical,387172,50.7094,43.4157,0.0,14.7658,40.2651,79.1812,134.2121,44.0,57.42,41.24,45.59
sub-00002,16,Bone cancellous,103148,114.1889,51.3513,13.4241,87.2386,118.1046,146.2872,197.2931,105.0,123.38,48.78,53.92
sub-00002,17,Optic nerve,541,93.3491,29.8092,41.6068,72.4728,93.947,112.7378,143.6038,88.25,98.45,28.32,31.3
sub-00002,18,WM - GM Separator,141006,150.6002,22.8618,116.7629,134.2121,147.6289,165.078,193.2607,146.78,154.43,21.72,24.0
sub-00005,0,Background,7231253,1.1641,2.0157,0.0,0.0,0.0,1.3275,5.31,0.0,3.16,1.52,2.52
sub-00005,1,White Matter,453092,117.4722,16.8804,92.97,104.925,115.545,127.5,148.7475,114.68,120.26,16.04,17.72
sub-00005,2,Cortex,412975,160.0285,28.0931,110.235,144.765,162.03,179.295,201.8775,155.45,164.61,26.69,29.5
